artist,track_name,track_id,release_year,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
C. Sathya,Nandooruthu,5vzUHk3hhMLSq8YmJxbUiW,2013,260800,53,0.55,0.545,0.71,0.000489,0.19,-8.384,0.484,150.17,4,0.684
Bharathwaj,May Masam,1BdAYnfsbZp9iluUcaVM8q,2003,292768,1,0.0246,0.902,0.575,5.70E-06,0.0918,-11.321,0.0443,107.977,4,0.952
Srikanth Deva,Aai Mailapuru,1rpUei688ShuizwZk0kGDX,2020,317965,32,0.317,0.531,0.828,3.46E-06,0.203,-13.236,0.161,82.642,4,0.767
Shankar Mahadevan,"Yapang Chupang ( From"" Jithan"")",28lNs5mJWeKMuhVIeXU6Sy,2013,299232,41,0.195,0.799,0.927,0.00592,0.052,-6.829,0.134,159.956,4,0.941
Vijay Antony,Dailamo Dailamo,3p4vXmvE970zZSZUF0GUnT,2006,267666,56,0.121,0.814,0.663,0,0.587,-7.802,0.0565,125.03,4,0.815
D. Imman,"Hey Vaada Vaada (""From Kacheri Aarambam"")",7fIAlEFbasrx4TAM3QcpSM,2014,312440,49,0.702,0.76,0.771,0.000138,0.194,-5.002,0.0627,131.928,4,0.69
Devi Sri Prasad,Excuse Me,4lGIy8N9aPgfUf04oFH2GS,2009,346813,48,0.0808,0.86,0.811,1.24E-05,0.0431,-4.119,0.288,88.011,4,0.783
Devi Sri Prasad,Allegro,6lINfLttHSl6Q0uGyCFVsw,2009,323440,44,0.0526,0.776,0.804,0.0131,0.0707,-3.274,0.11,105.051,4,0.76
Devi Sri Prasad,Meow Meow,77kgnVe6XPwiZPIA9cLMGx,2009,271200,47,0.133,0.779,0.857,0.000783,0.0825,-2.299,0.218,157.506,3,0.941
Devi Sri Prasad,En Peeru Meenakumari,2ylshHMbSFJ2CavXuc8rtN,2009,260040,59,0.00546,0.894,0.899,0.313,0.111,-2.037,0.18,134.933,4,0.61
Various Artists,Aasai Dosai,1NWBtqhMydn8BUtlv33WCE,2006,273026,53,0.0701,0.743,0.793,0.000684,0.0902,-5.326,0.161,158.019,4,0.723
S. S Karunaas,Othakallu Othakallu,3CAGlz3CBoUUg5ydX2DoCn,2010,259293,47,0.177,0.525,0.917,0,0.187,-6.519,0.223,150.132,4,0.644
Deva,Kalakkuvayn,3KgsEVMgMypmD6SpqDtyqm,2003,363893,32,0.377,0.499,0.932,6.13E-06,0.316,-11.957,0.146,115.014,3,0.488
S. P. Balasubrahmanyam,"Manasa Madichi (From ""Kannupada Poguthaiya"")",5Aayj01ET5fTOvQTcA4kv0,2002,251278,30,0.388,0.51,0.768,0,0.113,-7.609,0.556,63.064,4,0.688
Vijay Antony,Bombay Ponnu,4OoZOAGPA8ZQe2xrAa9aMQ,2011,234822,52,0.0847,0.806,0.941,0.853,0.0969,-7.314,0.0429,130.014,4,0.878
Thaman S,Naa Kaakinaada,7rw8pxiIQCUwS10ocRHhCS,2009,249893,53,0.308,0.878,0.921,0.0141,0.11,-6.16,0.143,97.406,3,0.731
STR dan Lakshmi Menon,Desi Girl,1HWSr2BbwTW6mJSpGoNH1c,2015,274880,35,0.662,0.737,0.946,0.000867,0.0626,-6.592,0.2,79.98,4,0.736
Vijay Antony,Rathiri Nerathu (Remix) (From 'Sattapadi Kutram'),18qHRw7M0OZifDB1oCnoOs,2019,218891,30,0.194,0.763,0.752,0.0261,0.344,-7.685,0.0381,134.991,4,0.798
Vijay Antony,Kaakha Kaakha,7eaxiz4XTTq0AHfxNH1d8Y,2007,258839,36,0.0832,0.623,0.79,0.000401,0.295,-4.706,0.0646,118.936,4,0.434
Vijay Antony,Radha Kadhal,6AKnCEz2sa9DAPQIkjsPjD,2007,282400,27,0.115,0.691,0.875,0,0.216,-6.006,0.195,120.014,4,0.457
Vijay Antony,Pia.. Pia..,41jTngKME76TNpR6WSxAZV,2009,254280,56,0.256,0.551,0.929,0.000536,0.142,-8.051,0.229,144.427,4,0.61
Vidyasagar,Thanni Vachu Poona Vachu,50G79LMo3Glt8cIsAP8kFX,1994,286548,43,0.483,0.761,0.796,0,0.155,-5.974,0.106,105.21,3,0.749
Vidyasagar,Mutham Thara,6oi4buZSOudtoKhsngbAll,1994,206256,27,0.31,0.759,0.924,0.000241,0.038,-5.907,0.0905,98.031,4,0.901
Vidyasagar,Thamarai Poovukum,6chviF7naWfxVOF91dkdqb,1995,327333,53,0.535,0.579,0.708,0.000155,0.0994,-9.737,0.0424,81.023,4,0.744
Yuvan Shankar Raja,"Where Is the Party (From ""Silambattam"")",5KGQ4YAwDV8YolJhbFPSuT,2014,318506,51,0.0159,0.55,0.92,0.000915,0.213,-4.057,0.0564,135.804,4,0.668
Mani Sharma,Dole Dole Than,0D4bKXUXlFFGWM9J5FVGyJ,2006,283546,6,0.118,0.73,0.867,6.61E-05,0.571,-4.207,0.136,84.01,4,0.796
Vijay Antony,Uchimandai,4ozRjRsmzHBWtH7h0mhj1w,2009,252200,54,0.162,0.489,0.824,2.15E-06,0.104,-3.118,0.137,83.003,4,0.917
Various Artists,"Oothikka Mama - From ""Santhaikku Vantha Kili""",5ppcrxuh1M3WQ4GnOGnjWX,1992,288026,0,0.845,0.842,0.555,5.46E-05,0.0543,-9.29,0.0713,140.553,4,0.756
Srikanth Deva,Vacchukka Vacchukka,15MQ6VhjYPp22LoBFF3gmP,2020,325690,45,0.372,0.744,0.952,0.00213,0.0624,-5.399,0.136,83.973,4,0.864
Various Artists,"Mocha Kotta Pallazhagi - From ""Ulavaali""",33xZLwsKsVa4H9oRzTerBy,1992,302826,0,0.73,0.801,0.779,0,0.0457,-7.038,0.26,65.196,4,0.901
Various Artists,"Poya Unn Moonjule - From ""Ponnu Velayira Bhoomi""",6FMSi8ekI8sa22ELrnum6h,1992,216773,0,0.487,0.921,0.853,0.00012,0.0571,-4.019,0.145,130.614,4,0.941
Srikanth Deva,Ragalapuram Ragalapuram,1PHx3KsMjhonFvGeUfaDkc,2012,283106,32,0.282,0.612,0.914,0.00327,0.206,-5.354,0.142,79.92,4,0.887
Srikanth Deva,Aadi Maasa Kaathadikka,4ahGwgXx9T2Rn93BQSnymW,2009,333600,40,0.201,0.766,0.917,0,0.168,-5.613,0.186,122.94,4,0.624
Bharadwaj,"Nattu Sarakku - Language: Tamil; Film: Pudukkottaielerunthusaravanan; Film Artists: Dhanush, Aparna",6gdhAfSwSyWOgF5dUIJDUk,2004,276546,53,0.224,0.666,0.741,0,0.447,-10.85,0.261,75.186,4,0.916
Yuvan Shankar Raja,Neruppu Koothadikkuthu,1inNQ5tJjPkR7tdRYQyhb3,2001,310453,48,0.313,0.739,0.575,0.000636,0.0559,-13.104,0.483,180.005,3,0.692
Yuvan Shankar Raja,Ammadi Aathadi,2pI0LbIXiuIZs5pDrBAj0x,2006,326069,4,0.377,0.732,0.823,7.18E-05,0.0929,-7.724,0.245,160.193,4,0.681
Vijay Antony,Naakka Mukka,6aUstpsARWZwKY7x2wKvtI,2007,303464,56,0.496,0.661,0.99,0.515,0.346,-1.161,0.1,95.021,4,0.735
Shankar - Ganesh,Pattukotta Ammalu,5Gk0S4jY2GwGtrnwnxfC1R,1982,285960,0,0.682,0.721,0.73,0,0.0731,-8.067,0.252,137.589,4,0.9
Ilaiyaraaja,"Kathal Oviyam - From ""Alaigal Oyvatillai""",4u6ccltaI5NWqDvCGeQwfJ,2013,277893,0,0.782,0.507,0.411,0.000467,0.137,-12.088,0.0343,75.009,4,0.622
K. J. Yesudas,"En Iniya Pon Nilave - From ""Moodu Pani""",7reaAbY9kVMlf6kdOLil65,2016,258360,0,0.958,0.465,0.526,0.201,0.0419,-6.529,0.0491,149.581,4,0.595
Various Artists,"Chippiyirukkuthu - From ""Varumayin Niram Sivappu""",2pE2eejQr37CxfqDLA94MS,2015,292179,0,0.788,0.496,0.65,0.066,0.407,-7.555,0.154,119.384,4,0.671
K. J. Yesudas,"Yerikkarai Poonkatre - From ""Thooral Ninnu Pochu""",3cE3kyfm5jSNHCXcvMGv7R,2016,221933,0,0.965,0.519,0.452,0.837,0.135,-13.378,0.0491,116.139,4,0.738
Ilaiyaraaja,"En Kanmani - From ""Chittukkuruvi""",1UZm4JZvRS6SHhQAys1MqI,2016,220320,0,0.927,0.299,0.73,0.000244,0.294,-3.84,0.0355,157.251,4,0.909
S. P. Balasubrahmanyam,"Engeyum Eppodhum - From ""Ninaithale Inikkum""",2KGIvIIsuSixwSlauXtWSv,2016,391560,0,0.82,0.376,0.762,0.197,0.269,-8.309,0.199,76.045,4,0.549
Ilaiyaraaja,"Pottu Vaitha Oru Vatta Nila - From ""Idhayam""",5FESec642TsGZQTThiFyXc,1993,286453,0,0.518,0.626,0.352,1.54E-05,0.17,-11.035,0.035,107.049,3,0.5
Ilaiyaraaja,"Thendral Vandhu Theendumbothu - From ""Avathaaram""",7BSlMo5qMEPvPthRPmTsyn,1993,322520,0,0.737,0.58,0.468,0.000231,0.0984,-11.482,0.0361,129.877,4,0.539
Ilaiyaraaja,"Muthumani Maalai - From ""Chinna Gounder""",38bxjCfSMhkLqoDte3tD5C,1993,299280,0,0.537,0.832,0.426,0.000109,0.087,-8.647,0.0328,108.925,4,0.772
Ilaiyaraaja,"Nenjukkule Innarendru - From ""Ponnumani""",7M1aSYLkBYU9rIwhMd7FhD,1993,294640,0,0.924,0.759,0.445,0.000128,0.0779,-9.478,0.0498,142.554,3,0.817
Ilaiyaraaja,"Enna Marandha - From ""Pandithurai""",0GwtTuEAs95zqKCw6jfXJh,1993,313600,0,0.794,0.63,0.299,3.89E-06,0.0934,-10.142,0.0431,130.774,3,0.509
Ilaiyaraaja,"Andhiyile Vaanam - From ""Chinnavar""",2cK3s3OUzvI8wa1TvG3tvz,1993,296573,0,0.754,0.798,0.337,0.00022,0.0944,-12.831,0.0339,98.992,4,0.752
Ilaiyaraaja,"Ennullae Ennullae - From ""Valli",2OeqjudPXrPB8ZKyeKPd6L,1993,414440,0,0.831,0.566,0.423,0.000283,0.0787,-8.452,0.0461,171.904,4,0.658
Ilaiyaraaja,"Ennavendru Solvathamma - From ""Rajakumaran""",6NxTqnO4paZWUQxFHJdUNX,2017,304573,0,0.527,0.641,0.594,0,0.117,-5.438,0.0747,134.84,3,0.756
Ilaiyaraaja,"Aalappol Velappol - From ""Yejaman""",1lR2TtC019JwUR9zzaxxJ8,2017,308440,0,0.375,0.827,0.518,2.30E-06,0.0655,-9.386,0.0367,128.066,4,0.915
Ilaiyaraaja,"Intha Maamanoda - From ""Uthama Raasa""",1UqWzzb3NgnHTqkDTVy6eZ,2017,288293,0,0.631,0.734,0.444,4.68E-05,0.317,-9.32,0.0986,73.793,4,0.833
Ilaiyaraaja,"Ennuyir Nee Thaane (From ""Priya"")",31tXRevZeVueLBtWFLp9NR,1996,290037,0,0.733,0.605,0.543,0.0173,0.0966,-8.837,0.0425,101.686,3,0.851
Ilaiyaraaja,"Perai Sollavaa (From ""Guru"")",4Sv20HlmMUUTz5927Q8Rsd,2014,285492,0,0.766,0.599,0.531,0.000121,0.0707,-3.826,0.0634,87.567,4,0.78
Ilaiyaraaja,"Paranthaalum (From ""Guru"")",1cdQGiPg6JTuLfTlMKEuhH,2014,334262,0,0.42,0.413,0.689,0.0115,0.0841,-3.635,0.0572,105.813,4,0.302
Ilaiyaraaja,Onnum Theriyatha Pappa,1sMXMX8LzYGwKSBls7ILJs,2008,258640,0,0.892,0.528,0.441,0.0672,0.197,-10.937,0.0506,149.906,4,0.67
Ilaiyaraaja,Varudhu Varudhu Ada Vilagu,4GDd9VA9F6kHFrHK4fn67H,2008,253400,0,0.879,0.633,0.822,0.21,0.183,-10.478,0.169,107.85,3,0.824
Ilaiyaraaja,Oru Maina Maina,1jhd8EnKQ4hSNnxR6lc1hm,2008,305880,0,0.246,0.846,0.522,0.00461,0.293,-9.677,0.0367,120.76,4,0.942
Ilaiyaraaja,Oru Kola Kili,5IaB3vD5UHUWixwlP5ui6T,2008,296560,0,0.297,0.83,0.552,0,0.112,-10.236,0.0917,138.031,3,0.693
S. P. Balasubrahmanyam,"Ithu Oru Ponmalai (From ""Nizhalgal"")",560i1iNcw2jXuvhvxmRwnq,2018,258906,34,0.957,0.713,0.436,0.000259,0.0958,-9.306,0.0607,115.481,4,0.618
Chandra Bose,"En Vaanilay (From ""Jhonny"")",5NdAyx0hdpXiCeIJYKV1Xo,1997,288640,0,0.764,0.61,0.289,0.0039,0.0675,-11.643,0.0547,93.817,4,0.379
Mohamed Raffee,Madai Thiranthu,697otrUAmXRQdZ8WK4orEH,1980,261355,31,0.844,0.578,0.433,4.68E-06,0.355,-13.612,0.0683,75.9,4,0.77
Ilaiyaraaja,"Kuzhaloodhum Kannanukku (From ""Mella Thirandhadhu Kadhavu"")",3DEAVSyitnvUOScjvoliGf,2020,277890,0,0.86,0.803,0.411,0.0541,0.111,-10.554,0.0426,109.716,4,0.932
Ilaiyaraaja,"Ninaivo Oru (From ""Sikappu Rojakkal"")",1xsCsm0xIJUejvPNGryEeP,1996,285133,0,0.907,0.454,0.437,0.00642,0.205,-8.369,0.0304,131.686,3,0.465
Ilaiyaraaja,Yamune Aatrile,7KPQnXvS1arcu2Zsm2UciN,2014,115017,53,0.894,0.636,0.178,0,0.0664,-15.18,0.0463,136.747,4,0.412
S. P. Balasubrahmanyam,Sundari,0Ob5avMcJufKJ6I8jaSewo,2017,432457,52,0.725,0.612,0.406,7.52E-06,0.102,-9.907,0.0315,113.606,4,0.39
Havoc Mathan,Kannale Kollathe,3MJk5YJszXWtoHUgX1E1hF,2015,262800,54,0.747,0.66,0.597,0,0.137,-7.734,0.0427,75.014,4,0.837
Ilaiyaraaja,Ooru Sanam Thoongidichu,7i8KbGgPz8ihXXXo0p7sD0,1986,278400,0,0.866,0.73,0.411,0.000153,0.078,-9.924,0.0376,124.903,4,0.715
S. P. Balasubrahmanyam,"Vaa Vennila Unnaithane (From ""Mella Thirandhadhu Kadhavu"")",40I6Dp8d94kl24AKMLYWxN,2020,279302,0,0.86,0.639,0.633,0.0297,0.194,-10.169,0.0664,79.269,4,0.916
Various Artists,"Thedum Kann Paarvai (From ""Mella Thirandhadhu Kadhavu"")",4Kr3m9tgSBAV8Q9WQtJ4lT,2020,282880,39,0.822,0.478,0.494,0.00129,0.131,-8.431,0.0262,82.237,3,0.553
Hamsalekha,Endha Pennilum Illada Onru,3EJ4mR2R2NsqfbYHI2eYqy,2014,309080,42,0.912,0.652,0.396,0.000602,0.295,-11.513,0.0742,82.293,4,0.499
S. P. Balasubrahmanyam,"Pathinettu Vayathu (From ""Surieyan"")",5KLYxwGJqdMKHR8aEeKlr9,2020,308453,30,0.675,0.635,0.439,5.93E-06,0.0871,-9.704,0.0431,133.403,4,0.836
Chandra Bose,Medhuva Medhuva,1cKXiqBwQcVHGbNYu3bnW3,2014,259657,41,0.846,0.647,0.363,6.01E-05,0.109,-10.367,0.0343,87.269,4,0.731
Various Artists,Valaiyosai Kalakala,2CUsUUpzLh8pe1smaDvDUu,2012,268221,58,0.838,0.789,0.49,0.0252,0.2,-6.917,0.0491,125.413,4,0.454
A.R. Rahman,Kaadhal Rojave,6Eon1DjI712yg69mi3MsAd,2014,299911,58,0.83,0.696,0.423,0.00141,0.126,-9.243,0.0321,91.007,4,0.432
Ilaiyaraaja,"En Iniya Pon Nilave - From ""Moodu Pani""",76YIdPWtjd17hQzmCbTWIs,2016,258360,0,0.958,0.465,0.526,0.201,0.0419,-6.529,0.0491,149.581,4,0.595
S. P. Balasubrahmanyam,En Kannukoru Nilava,0ARSb22sNzJcnYZ3gxH0tq,2017,270445,37,0.88,0.795,0.362,0.439,0.092,-11.741,0.0347,108.901,4,0.791
S. P. Balasubrahmanyam,Pathinettu Vayathu,3r1puHEekdUKwXKVMqDXsK,2017,308453,37,0.676,0.634,0.439,5.51E-06,0.0888,-9.704,0.043,133.457,4,0.836
S. P. Balasubrahmanyam,Kondaicheval,7EXc7NMEp3yvvBLKSpXW0K,2017,245864,35,0.785,0.621,0.42,0.00151,0.123,-11.355,0.118,148.063,4,0.693
Ilaiyaraaja,Malligai Mottu,1NsfymKYTr0g5VFgyzGjqZ,1994,304400,0,0.64,0.835,0.332,4.33E-05,0.161,-11.485,0.0642,126.008,3,0.746
Various Artists,Aathangarai Maramea Adhil,1Z8LzODEH4hn1fEMJEIARw,2021,290872,56,0.266,0.74,0.283,0,0.0792,-19.161,0.0739,90.962,4,0.793
A.R. Rahman,Pudhu Vellai Mazhai,32j96Gl0BjQHAVdMPxin43,2014,313028,59,0.416,0.626,0.414,2.14E-05,0.117,-9.245,0.0426,61.016,4,0.15
Ilaiyaraaja,Thendral Vanthu,65K9X6L8z6xBZ70KasesI3,1994,322520,0,0.737,0.58,0.468,0.000227,0.0984,-11.482,0.0361,129.877,4,0.539
Yuvan Shankar Raja,Irava Pagala,0Ilt3ks9TsVNV5g9tM2uW5,1999,310752,55,0.478,0.703,0.402,4.70E-06,0.163,-11.471,0.059,82.049,4,0.191
Various Artists,Veesum Kaatrukku,0zwwS5Cd5NaI7WWBpC8blM,1997,299353,0,0.202,0.294,0.434,2.77E-06,0.122,-11.092,0.0413,85.988,4,0.172
Various Artists,Pachai Kiligal,5oybbq5h5KA4LdcNtVAjSz,2021,347859,51,0.215,0.754,0.215,1.31E-06,0.0492,-20.544,0.034,104.013,4,0.855
Ilaiyaraaja,Nenjukulle,6uDALwh3bMqNCk3mNdJixU,1993,294640,0,0.925,0.76,0.447,0.000123,0.0782,-9.491,0.0509,142.528,3,0.814
Ilaiyaraaja,Ennai Thalatta Varuvala - Duet,2r111zKva5smArbyHbSiS3,1997,304018,49,0.207,0.897,0.348,0.00518,0.107,-13.634,0.054,116.977,4,0.713
A.R. Rahman,Eetchi Elumichi,6n6g7h9O6WXE1eWZzsYq9w,1998,405603,50,0.096,0.702,0.478,1.57E-05,0.135,-10.873,0.0363,155.997,3,0.901
S.A. Rajkumar,Eatho Oru Paatu,1akEX0IkHvRXXDCy9FN55S,1998,264973,45,0.553,0.641,0.468,0,0.0915,-10.527,0.035,82.887,4,0.66
Sirpy,Alelankiliye - Solo,5shS1r6k8HbzcMrP9VP3ZQ,2014,249835,34,0.749,0.616,0.516,0.000126,0.148,-12.359,0.0641,166.783,3,0.936
A.R. Rahman,Rasathi,7LG0J6KNnrqvmrCKgZ6nIt,1993,275466,46,0.755,0.424,0.141,0,0.127,-20.102,0.0345,130.929,4,0.399
A.R. Rahman,Veerapandi Kotayyile,20GvRntcVUf2iB9yuN5jZ3,1993,389706,48,0.192,0.835,0.248,7.99E-06,0.228,-18.08,0.123,126.764,4,0.335
A.R. Rahman,Putham Puthu Bhoomi,6UjMHDFVyQNYvc998cojsB,1993,284720,36,0.282,0.398,0.406,0,0.0958,-15.665,0.0483,126.671,5,0.515
S. P. Balasubrahmanyam,"Kannil Kanthamai (From ""Mounam Pesiyathe"")",0KFqAbHhwUvZVGL7wT36nW,2014,290920,32,0.66,0.731,0.812,0.000192,0.309,-8.803,0.0555,92.002,4,0.638
Ilaiyaraaja,Raja Raja Chozhan,55JfAOILA0T6x9tekwfib8,1987,274800,56,0.773,0.51,0.332,0.000115,0.0713,-13.692,0.0456,155.955,3,0.833
Ilaiyaraaja,Oru Jeevan (Happy),40XzBWu3p8t1tOAFgaftkW,1989,291160,37,0.502,0.571,0.332,0.00667,0.0952,-10.796,0.0578,178.596,3,0.647
Yuvan Shankar Raja,Kaatrukullai,3tOR1zae8trHZweUByE0Zv,2009,264532,39,0.431,0.805,0.588,0.00124,0.118,-5.786,0.0311,119.99,4,0.518
Prakash Nikki,Malai Mangum Neram,2yDBeS1pUuX9ms5Y3ItIAf,2012,313600,0,0.388,0.668,0.506,0.299,0.0761,-10.226,0.0561,86,4,0.538
Ilaiyaraaja,"Kurukku Siruthvalea ( From ""Mudhalvan"")",32A0uFoMdlEB1tlnktxfV9,2013,398341,48,0.17,0.69,0.518,1.77E-06,0.382,-8.843,0.0845,76.995,4,0.746
Ilaiyaraaja,Mandram Vandha,5pfBPbl9pdW7kWf5u8uBuE,1986,287287,55,0.794,0.646,0.281,0.0858,0.14,-12.23,0.0347,115.78,4,0.285
Vivek - Mervin,Neeyae,1MZbccVLcsHx8jH4wcfbBs,2015,283000,53,0.566,0.446,0.477,0,0.103,-7.281,0.0369,149.712,4,0.233
Ilaiyaraaja,Thendral Vanthu,21So81Yl6lkVgNWMs33JtV,1995,321056,0,0.751,0.583,0.46,0.000147,0.146,-11.509,0.035,129.904,4,0.534
S. P. Balasubrahmanyam,Ennai Thottu,7sK0B8EVLbb9WuarhhtYLS,1992,300733,0,0.755,0.804,0.54,3.16E-05,0.102,-8.575,0.0394,115.932,4,0.765
A.R. Rahman,Poongatrile,22l0qyOhl50I7bslggljTD,1998,340610,59,0.25,0.743,0.335,0,0.131,-13.506,0.0377,121.968,4,0.574
Ilaiyaraaja,Rasathi Unnai,3jrOziEVwpJAETyEDZ5HWa,1984,263575,54,0.41,0.629,0.427,0.00774,0.451,-8.872,0.0272,95.478,3,0.845
Ilaiyaraaja,Ilamai Ennum Poonkaatru,0AF6iFHTyT9JsV0cemNuVJ,1979,247041,46,0.978,0.41,0.465,0.141,0.0741,-6.802,0.0303,141.344,4,0.459
A.R. Rahman,"Poongatrile (From ""Uyire"")",48vEUc5MnUiqtrbclwVZPz,2013,340874,53,0.267,0.75,0.341,0,0.0951,-13.368,0.0381,121.999,4,0.602
Deepa Iyer,Vaseegara x Zara Zara x Manohara,6Uojacx8QmDmMIiHRm03jQ,2020,193619,47,0.746,0.568,0.379,2.07E-06,0.169,-5.299,0.0338,129.401,4,0.421
Yuvan Shankar Raja,Aarariraro,3GVdfTliGT0h9q7LCopcBM,2005,286000,46,0.303,0.764,0.398,0.00145,0.0986,-11.501,0.0457,135,4,0.507
A.R. Rahman,Kulliruthu Kulliruthu,4lNJSdrL9OGUOgq2YSG6tn,1998,286641,49,0.49,0.643,0.4,0.000156,0.126,-12.522,0.0774,82.352,4,0.237
A.R. Rahman,Taniye Tanantaniye (Earth) - Revival,6b68NYiyDS3CrxOGSdCXk3,2000,324813,0,0.263,0.715,0.513,2.53E-05,0.0611,-9.683,0.0693,169.905,4,0.807
A.R. Rahman,"Ulunthu Vithaikaiyilae ( From ""Mudhalvan"")",5V7NvBzINRfxWPTbkBH6n1,2013,361012,24,0.324,0.63,0.592,3.52E-06,0.15,-8.945,0.0896,77.087,4,0.493
Various Artists,Theanmearkku Paruva,3IUcrq0BDBWRP3siSHuX3P,2021,302686,47,0.116,0.741,0.371,0.00052,0.0853,-16.805,0.048,119.947,4,0.43
Ilaiyaraaja,Ennavendru Solvadamma,3JfIKp00tgyZtQGA7nxQ4n,1994,304535,0,0.55,0.664,0.588,0,0.12,-5.467,0.07,134.742,3,0.783
Ilaiyaraaja,Chinnathai Aval,4kAV9kDMKV4MXGFWTlqbCq,2014,201325,47,0.898,0.52,0.283,0,0.285,-9.928,0.029,80.17,3,0.193
Unnikrishnan,"Manam Virumbuthey (From ""Naerukku Naer"")",1avWxDuq3TeCiDO7ZMPEXj,2013,359235,28,0.0131,0.776,0.648,2.34E-06,0.0695,-11.472,0.0523,94.953,4,0.459
A.R. Rahman,Ennuyire,3hTvdWIVGJJxyYmOCYQhW8,1998,441652,50,0.183,0.471,0.553,0,0.284,-14.107,0.0979,90.848,4,0.408
A.R. Rahman,Santhosha Kanneere,6h46G8mMwc3QDymuVKcPhR,1998,406700,49,0.046,0.834,0.73,0.0134,0.0995,-7.425,0.0434,105.989,4,0.236
Various Artists,Minnalea En Vazhvin,6078vTOfNPOHZDuyzzsMLx,2021,336495,49,0.34,0.445,0.354,0,0.153,-11.917,0.0357,100.12,4,0.375
Various Artists,Thean Kizhakku Cheemaielea,4yYC3zTax1P6wu4rIvQ5yQ,2021,339885,45,0.596,0.526,0.217,0,0.0848,-17.197,0.028,90.933,4,0.224
A.R. Rahman,Vennilavin Theril Yeri,29KTBIKFx7HxFX1DhHGg0y,1994,249391,41,0.385,0.732,0.483,0,0.342,-12.449,0.135,102.017,4,0.259
Deva,April Maathathil,6t2mWm7Jpy7046xL5DkK0a,2019,312511,0,0.352,0.778,0.765,0.00794,0.108,-15.443,0.0635,113.54,4,0.774
Deva,Vanthalaappa-Duet,6Te6Xy2BlUwWBRsPPJzY8O,1995,298993,32,0.498,0.675,0.643,0.0331,0.133,-9.933,0.0398,82.922,4,0.825
Ilaiyaraaja,Ding Dang Dang,6OXkad4ztjNX8IMFER1qzZ,1990,297226,27,0.736,0.728,0.472,0.0274,0.117,-9.755,0.0429,90.043,4,0.894
Ilaiyaraaja,Nilaave Vaa,5QmFXjtfG8OS5m7RlO9Tgx,1986,277176,53,0.864,0.666,0.289,0.0677,0.138,-10.493,0.0317,111.924,4,0.548
Ilaiyaraaja,Poongatru Thirumbuma,3R5JHtwQX5DMVM4o0pbroU,1985,261851,53,0.422,0.955,0.348,0.548,0.103,-10.03,0.0706,114.506,4,0.856
Ilaiyaraaja,Kodiyile Malliyapoo,6wNDRF4KXEpisijpq39jvZ,1986,264964,56,0.906,0.668,0.403,0.11,0.108,-12.101,0.0303,126.119,4,0.423
Ilaiyaraaja,Vaa Vaa Anbe Anbe,3ADvodp8YSfwO5bVlEKCKT,1988,278883,39,0.876,0.644,0.426,0.051,0.106,-13.559,0.0365,93.172,4,0.744
Ilaiyaraaja,Mannil Indha,6eE9euoz9B0jF4XHqL9Gx8,1990,252813,51,0.859,0.754,0.366,0.00287,0.114,-13.309,0.0689,146.342,4,0.858
Ilaiyaraaja,Ennai Thottu,6rHDMFYZMwHeQZ6084qFHq,1992,300960,59,0.851,0.796,0.35,0.00684,0.124,-15.182,0.044,115.891,4,0.793
Ilaiyaraaja,Paadi Parandha,5RPCISKHNCT5kmWqje6XTn,1990,295155,40,0.903,0.712,0.343,0.00142,0.107,-10.839,0.0541,140.576,3,0.662
S. P. Balasubrahmanyam,"Aalappol Velappol (From ""Yejaman"")",025rZewayy2VEmVD77JATD,2021,306908,46,0.378,0.83,0.531,3.31E-06,0.0644,-9.361,0.0336,128.03,4,0.897
Swarnalatha,"Malai Kovil Vaasalil (From ""Veera"")",10GArsxjgcBJtRghu1gl1R,2021,381522,42,0.268,0.753,0.503,6.30E-06,0.101,-10.638,0.0313,145.942,4,0.758
Ilaiyaraaja,Malaiyoram Veesum Kaathu,5D4Xdsc7wXUxm8GBJN8XM5,1987,275920,49,0.885,0.677,0.259,9.61E-06,0.0952,-10.532,0.0331,82.79,4,0.504
Ilaiyaraaja,Maanguyilae - Solo,3ySQbHHoBJzlKwNd9p5Fz5,1989,277710,45,0.841,0.583,0.65,5.51E-05,0.0837,-10.435,0.251,113.388,5,0.895
Ilaiyaraaja,Naan Pooveduthu,1RSy6XGlrrKJ7fKiqtEiR9,1984,276441,25,0.53,0.666,0.28,0.00438,0.0895,-12.853,0.116,140.278,3,0.731
Various Artists,"Nenjukkule Innarendru (Sad) (From ""Ponnumani"")",4XFKl9xaSG5pmgwKLwghwc,2021,294221,22,0.921,0.76,0.444,0.00015,0.0831,-9.521,0.0503,142.588,3,0.826
Ilaiyaraaja,Nethu Oruthara Oruthara,7D8OOlSDm64iz9WoBzKV9w,1990,264007,40,0.704,0.943,0.444,0.6,0.0277,-10.679,0.0489,99.716,4,0.96
Ilaiyaraaja,Guruvayurappa,3JgOiGRp9lT5FkPcE1I7c6,1989,273554,43,0.808,0.791,0.458,0.0392,0.0935,-11.792,0.0416,100.645,4,0.861
Ilaiyaraaja,Keladi Kanmani,5ilUJK8efHD5ULhtYS94TR,1989,274625,50,0.726,0.336,0.544,8.22E-05,0.397,-11.368,0.0511,80.713,4,0.396
