artist,track_name,track_id,release_year,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
Vivek - Mervin,Orasaadha - Madras Gig,7fec0UcxeHVe6kHIez2GSs,2018,235500,66,0.141,0.587,0.776,0,0.109,-4.892,0.0807,159.906,4,0.606
Ghibran,Thaarame Thaarame,1hhLL2eWsnPtYCdDjbiRIU,2019,228214,64,0.677,0.594,0.53,0,0.108,-6.491,0.0343,139.878,3,0.32
Yuvan Shankar Raja,Anbae Peranbae,6qRiVOBexkxK4BxSt1j6rn,2019,269333,59,0.481,0.685,0.561,0.00181,0.16,-4.185,0.0298,90.023,4,0.312
Sam C.S.,Kannamma,45THyhjDbYhNU7bDrTTUK6,2019,256945,62,0.522,0.729,0.695,0.000621,0.113,-8.524,0.0312,127.992,4,0.599
A.R. Rahman,Neethanae,0aI4SOX8BknvAfOs607FlV,2017,268455,55,0.716,0.57,0.442,0.000788,0.0922,-9.656,0.043,73.963,4,0.53
Justin Prabhakaran,Adiyae Azhagae,1nIMRpxCoLzdwvlWG2o7zK,2015,289404,48,0.572,0.718,0.486,1.61E-06,0.0868,-8.507,0.057,79.999,4,0.511
Hiphop Tamizha,Hi Sonna Pothum,2YRVd8cvSqT2Zta5TGTPRF,2019,230430,52,0.285,0.482,0.696,2.03E-06,0.115,-6.646,0.089,183.932,4,0.655
Hiphop Tamizha,Takkunu Takkunu,7frWUq8m2KNHx82TS6R5Rz,2019,212727,48,0.0829,0.811,0.587,0,0.173,-10.091,0.0872,110.027,4,0.758
Yuvan Shankar Raja,High On Love,6kekHWEQ4SyMe5EjYAlveP,2018,240169,64,0.214,0.627,0.779,9.34E-06,0.112,-4.944,0.0392,149.929,4,0.619
Anirudh Ravichander,Oh Oh - The First Love of Tamizh,3B4Wf3Fo11BXSuVPi1dtDO,2015,276705,59,0.413,0.594,0.587,0.00013,0.0904,-8.705,0.0268,85.002,4,0.448
Anirudh Ravichander,Thangamey,62KDpF0Hv7KJLZrrKXsz8r,2015,262539,57,0.479,0.585,0.901,0,0.248,-5.785,0.0745,99.929,4,0.62
Dhibu Ninan Thomas,Othaiyadi Pathayila,09Z6o1yu596HJAwWZxTz4m,2018,249671,62,0.341,0.713,0.615,1.55E-06,0.0608,-7.648,0.138,135.017,3,0.807
Harris Jayaraj,Lolita,7uQlCXY5sxeyETkHZvTo0v,2010,309173,53,0.116,0.885,0.623,1.38E-05,0.167,-7.888,0.0442,107.013,4,0.363
Various Artists,Nillayo,3ahPaAj1WAfk4ahBjDaT8X,2017,252688,49,0.776,0.664,0.451,0.000181,0.149,-6.95,0.0278,144.919,3,0.304
D. Imman,Senthoora,6LtQGnMSsQ859t930Anbyk,2016,264314,52,0.163,0.427,0.646,0,0.301,-1.708,0.03,159.998,3,0.543
A.R. Rahman,Thalli Pogathey,6wBXSf1chpnyXGOSvANs0a,2016,268055,62,0.108,0.582,0.748,0,0.0909,-6.029,0.0349,98.228,3,0.148
Harris Jayaraj,Mundhinam,1n5gnI3Wue9WBpYFOIQNh1,2008,341386,64,0.237,0.474,0.548,0,0.0791,-8.614,0.331,193.671,4,0.676
Hiphop Tamizha,Neeyum Naanum Anbe,0zsA45R0SQPfqC5TyDOqY8,2018,285250,65,0.298,0.467,0.826,0,0.204,-3.885,0.049,160.025,4,0.417
Harris Jayaraj,Ennamo Yeadho,25SOVnk2agskqzqeKPcx2Q,2011,333600,57,0.0439,0.793,0.571,0.000215,0.193,-6.289,0.0341,90.986,4,0.692
Hiphop Tamizha,Enna Nadanthalum,7yk8CT3m3KI8u6DEWc3dFk,2017,245064,52,0.263,0.733,0.752,0,0.157,-3.472,0.034,87.996,4,0.763
